ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_40,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_glutinis
ASV_41,Plantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hoheria,Hoheria_aff._sexstylosa_SJW-2009
ASV_42,Plantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,NA,Hypochaeris_environmental_sample
ASV_43,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_californica
ASV_44,Plantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum_officinale
ASV_45,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_andropogonis
ASV_46,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_microlaenae
ASV_47,Plantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_topiaria
ASV_48,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_nigrum
ASV_49,Plantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Pseudopanax,Pseudopanax_ferox
ASV_50,Plantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Fatsia,Fatsia_japonica
ASV_51,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_alternata
ASV_52,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Calophoma,NA
ASV_53,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_tsudae
ASV_54,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Schefflera,Schefflera_digitata
ASV_55,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_expansum
ASV_56,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Schefflera,Schefflera_digitata
ASV_57,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum_officinale
ASV_58,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis_capillaris
ASV_59,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Calophoma,NA
ASV_60,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_tsudae
ASV_61,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Calophoma,NA
ASV_62,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Calophoma,NA
ASV_63,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_saligna
ASV_64,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera_helix
ASV_65,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_66,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Arxiozyma,Arxiozyma_pintolopesii
ASV_67,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_eremophila
ASV_68,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Calophoma,NA
ASV_69,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Leontodon,Leontodon_saxatilis
ASV_70,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella_officinarum
ASV_71,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,NA
ASV_72,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_eremophila
ASV_73,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_nicholii
ASV_74,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora_sp.
ASV_75,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Claviceps,Claviceps_macroura
ASV_76,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_botryoides
ASV_77,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Monosporozyma,Monosporozyma_servazzii
ASV_78,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia_kudriavzevii
ASV_79,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_nigrum
ASV_80,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_coatesiae
ASV_81,Fungi,NA,NA,NA,NA,NA,NA
ASV_82,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Pseudopithomyces_chartarum
ASV_83,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Pseudopanax,Pseudopanax_ferox
ASV_84,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_fragilis
ASV_85,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_alternata
ASV_86,Fungi,NA,NA,NA,NA,NA,NA
ASV_87,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Leontodon,Leontodon_saxatilis
ASV_88,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_89,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia_kudriavzevii
ASV_90,Fungi,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus_carota
ASV_91,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Pseudopanax,Pseudopanax_ferox
ASV_92,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia_fermentans
ASV_93,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera_helix
ASV_94,Fungi,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa_agrestis
ASV_95,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_eremophila
ASV_96,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis_capillaris
ASV_97,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_hiemalis
ASV_98,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_nigrum
ASV_99,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_herbarum
ASV_100,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum_latilobum
ASV_101,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum_officinale
ASV_102,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_cynodontis
ASV_103,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_vesicarium
ASV_104,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_nakasei
ASV_105,Fungi,NA,NA,NA,NA,NA,NA
ASV_106,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Pseudopanax,Pseudopanax_ferox
ASV_107,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Pseudopanax,Pseudopanax_ferox
ASV_108,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Leontodon,Leontodon_saxatilis
ASV_109,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_coatesiae
ASV_110,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_eremophila
ASV_111,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Calophoma,NA
ASV_112,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Pseudopithomyces_chartarum
ASV_113,Fungi,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa_agrestis
ASV_114,Fungi,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus_carota
ASV_115,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_botryoides
ASV_116,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia_fermentans
ASV_117,Fungi,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_chathamica
ASV_118,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia_exigua
ASV_119,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis_capillaris
ASV_120,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_121,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_122,Fungi,Streptophyta,Magnoliopsida,Caryophyllales,Basellaceae,Anredera,Anredera_cordifolia
ASV_123,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_124,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum_officinale
ASV_125,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_126,Fungi,Streptophyta,Magnoliopsida,Poales,Poaceae,Paspalum,Paspalum_dilatatum
ASV_127,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Leucanthemum,Leucanthemum_pyrenaicum
ASV_128,Fungi,Streptophyta,Magnoliopsida,Poales,Poaceae,Dactylis,Dactylis_glomerata
ASV_129,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_eremophila
ASV_130,Fungi,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hoheria,Hoheria_aff._sexstylosa_SJW-2009
ASV_131,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces_ruberrimus
ASV_132,Fungi,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum_lycopersicum
ASV_133,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_134,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_flavus
ASV_135,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Craspedia,Craspedia_sp._CHR514290
ASV_136,Fungi,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,Poa_annua
ASV_137,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremaceae,Papiliotrema,Papiliotrema_nemorosa
ASV_138,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella_officinarum
ASV_139,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,Phaeosphaeriaceae_sp.
ASV_140,Fungi,NA,NA,NA,NA,NA,NA
ASV_141,Fungi,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago_lanceolata
ASV_142,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_alternata
ASV_143,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella_zeae
ASV_144,Fungi,Chlorophyta,Trebouxiophyceae,Watanabeales,NA,Chloroidium,Chloroidium_orientale
ASV_145,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_papendorfii
ASV_146,Fungi,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium_repens
ASV_147,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_bayanus
ASV_148,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,NA
ASV_149,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremaceae,Papiliotrema,Papiliotrema_nemorosa
ASV_150,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Metrosideros,Metrosideros_perforata
ASV_151,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_152,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Calophoma,NA
ASV_153,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_154,Fungi,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_strictissima
ASV_155,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella_officinarum
ASV_156,Fungi,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus_bulbosus
ASV_157,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Craspedia,Craspedia_sp._CHR514290
ASV_158,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_glutinis
ASV_159,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum_sp._CF-2016
ASV_160,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_fermentans
ASV_161,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_herbarum
ASV_162,Fungi,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus_sardous
ASV_163,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_eremophila
ASV_164,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_165,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_obovatum
ASV_166,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_167,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_168,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_coatesiae
ASV_169,Fungi,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus_carota
ASV_170,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Craspedia,Craspedia_sp._CHR514290
ASV_171,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_172,Fungi,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_pinguifolia
ASV_173,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron_sp._MIB:SASS:0442
ASV_174,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_175,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremaceae,Papiliotrema,Papiliotrema_nemorosa
ASV_176,Fungi,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_topiaria
ASV_177,Fungi,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Coriandrum,Coriandrum_sativum
ASV_178,Fungi,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa_agrestis
ASV_179,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Craspedia,Craspedia_sp._CHR514290
ASV_180,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum_officinale
ASV_181,Fungi,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Beta_vulgaris
ASV_182,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_183,Fungi,Streptophyta,Magnoliopsida,Malvales,Thymelaeaceae,Pimelea,Pimelea_oreophila
ASV_184,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_185,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_verrucosa
ASV_186,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_saligna
ASV_187,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,NA,Hypochaeris_environmental_sample
ASV_188,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces_ruberrimus
ASV_189,Fungi,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,Digitaria_sanguinalis
ASV_190,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,NA
ASV_191,Fungi,Streptophyta,Magnoliopsida,Malvales,Thymelaeaceae,Pimelea,Pimelea_oreophila
ASV_192,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_193,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum_gracile
ASV_194,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_nigrum
ASV_195,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_nakasei
ASV_196,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis_capillaris
ASV_197,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,Phoma_sp.
ASV_198,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Craspedia,Craspedia_sp._CHR514290
ASV_199,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_200,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_201,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella_officinarum
ASV_202,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_cynodontis
ASV_203,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium_arvense
ASV_204,Fungi,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_topiaria
ASV_205,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_oregonensis
ASV_206,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_nodulosa
ASV_207,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum_officinale
ASV_208,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,NA
ASV_209,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_alternata
ASV_210,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_robusta
ASV_211,Fungi,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_chathamica
ASV_212,Fungi,NA,NA,NA,NA,NA,NA
ASV_213,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella_flagellaris
ASV_214,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_215,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Acrospermaceae,Radulidium,Radulidium_subulatum
ASV_216,Fungi,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_stenophylla
ASV_217,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_tsudae
ASV_218,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,Plenodomus_dezfulensis
ASV_219,Fungi,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia_simplex
ASV_220,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_221,Fungi,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,NA
ASV_222,Fungi,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa_agrestis
ASV_223,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia_fermentans
ASV_224,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_regnans
ASV_225,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_226,Fungi,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum_lycopersicum
ASV_227,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Leontodon,Leontodon_saxatilis
ASV_228,Fungi,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus_carota
ASV_229,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_saligna
ASV_230,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_cynodontis
ASV_231,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Dictyosporiaceae_gen_Incertae_sedis,NA
ASV_232,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Pseudopanax,Pseudopanax_ferox
ASV_233,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_234,Fungi,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hoheria,Hoheria_populnea
ASV_235,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Anthemis,Anthemis_cotula
ASV_236,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella_officinarum
